model,calibration,selection_score,threshold,precision,recall,f1,roc_auc,pr_auc,brier,ece,false_positive_rate,true_negatives,false_positives,false_negatives,true_positives
catboost,isotonic,1.0488296449162093,0.6682828282828283,1.0,0.009828009828009828,0.0194647201946472,0.8488163820166402,0.29308976578365076,0.018065577211934372,1.8191718837236137e-18,0.0,17033,0,403,4
catboost,platt,1.0469821397922703,0.6979797979797979,1.0,0.007371007371007371,0.014634146341463415,0.8426081702075362,0.2947446733824346,0.019100845853992257,0.0035523912018429714,0.0,17033,0,404,3
logistic_regression,isotonic,1.0362370680635318,0.4851515151515151,1.0,0.007371007371007371,0.014634146341463415,0.7329971261163651,0.21719020985443904,0.019443568345105522,5.633872573355869e-19,0.0,17033,0,404,3
logistic_regression,platt,1.0356845520759805,0.6732323232323232,1.0,0.007371007371007371,0.014634146341463415,0.7003632636228186,0.22204768450307022,0.020050477847872304,0.005124548739383598,0.0,17033,0,404,3
lightgbm,platt,1.0344379064896008,0.5,1.0,0.002457002457002457,0.004901960784313725,0.7572636496490193,0.2238518853349518,0.01978530396098526,0.001461466026881882,0.0,17033,0,406,1
lightgbm,isotonic,1.0342357069900336,0.5,1.0,0.002457002457002457,0.004901960784313725,0.7678925329368587,0.22006811195970152,0.01940730924207107,5.323532134993046e-19,0.0,17033,0,406,1
catboost,uncalibrated,1.03093863853468,0.98010101010101,1.0,0.009828009828009828,0.0194647201946472,0.8426081702075362,0.2947446733824346,0.026675879137007766,0.07255697008538867,0.0,17033,0,403,4
lightgbm,uncalibrated,1.013251521807766,0.886060606060606,1.0,0.002457002457002457,0.004901960784313725,0.7572636496490193,0.2238518853349518,0.030885562471488576,0.08620700475422097,0.0,17033,0,406,1
logistic_regression,uncalibrated,1.0048737472695473,0.9850505050505051,1.0,0.004914004914004914,0.009779951100244499,0.7003632636228186,0.22204768450307022,0.04627778374035961,0.12351357272389785,0.0,17033,0,405,2
xgboost,platt,0.6007337602097608,0.4208080808080808,0.49714285714285716,0.21375921375921375,0.29896907216494845,0.7527489274685892,0.211298985056804,0.019998560111401793,0.0010519677047391312,0.005166441613338813,16945,88,320,87
xgboost,isotonic,0.6000981432443973,0.3416161616161616,0.49714285714285716,0.21375921375921375,0.29896907216494845,0.7621760678180569,0.2053082593986919,0.019654555589603804,1.7132543899431332e-10,0.005166441613338813,16945,88,320,87
xgboost,uncalibrated,0.5705287707785568,0.8217171717171717,0.49714285714285716,0.21375921375921375,0.29896907216494845,0.7527489274685892,0.2112989935176227,0.03689160038691613,0.12187193050604621,0.005166441613338813,16945,88,320,87
